YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STRATA,GQ,PERNUM,PERWT,NCHILD,NCHLT5,SEX,AGE,MARST,RACE,RACED,HISPAN,HISPAND,EDUC,EDUCD,EMPSTAT,EMPSTATD,INCWAGE,VETSTAT,VETSTATD,EDUCDC,HSDIP,COLDIP,WHITE,BLACK,HISPANIC,MARRIED,FEMALE,VET,HSDIP-EDUCDC,COLDIP-EDUCDC,AGESQ,INCWAGE_LOG
2022,202201,25314,2022000250613,4191.2,2022000253141,40002,1,3,3224.0,1,1,1,30,6,3,375,0,0,8,81,1,10,55000,1,11,14.0,1,0,0,0,0,0,0,0,14.0,0.0,900,10.915088464214607
2022,202201,32084,2022000052496,29338.4,2022000320841,250304,1,2,19344.0,0,0,1,51,6,1,100,0,0,8,81,1,10,15600,1,11,14.0,1,0,1,0,0,0,0,0,14.0,0.0,2601,9.655026193237628
2022,202201,40466,2022000467448,9994.4,2022000404661,190804,1,2,10639.2,3,0,1,37,1,7,700,1,100,8,81,1,10,33300,1,11,14.0,1,0,0,0,1,1,0,0,14.0,0.0,1369,10.413312675968536
2022,202201,40789,2022000483348,14669.2,2022000407891,80704,1,1,14669.2,2,0,2,48,6,2,200,0,0,8,81,1,10,40000,1,11,14.0,1,0,0,1,0,0,1,0,14.0,0.0,2304,10.596634733096073
2022,202201,41111,2022000498154,33529.6,2022000411111,100004,1,2,29983.2,4,0,1,40,1,1,100,0,0,8,81,1,10,159000,1,11,14.0,1,0,1,0,0,1,0,0,14.0,0.0,1600,11.976659481202368
2022,202201,44658,2022000671247,19666.4,2022000446581,12604,1,1,19666.4,1,0,2,43,4,2,200,0,0,8,81,1,10,50000,1,11,14.0,1,0,0,1,0,0,1,0,14.0,0.0,1849,10.819778284410283
2022,202201,47720,2022000826007,9994.4,2022000477201,12704,1,1,9994.4,2,0,2,30,6,1,100,0,0,8,81,1,10,40000,1,11,14.0,1,0,1,0,0,0,1,0,14.0,0.0,900,10.596634733096073
2022,202201,47882,2022000834154,37720.8,2022000478821,80704,1,1,37720.8,0,0,2,44,4,7,700,1,100,8,81,1,10,42000,1,11,14.0,1,0,0,0,1,0,1,0,14.0,0.0,1936,10.645424897265505
2022,202201,49010,2022000891284,9672.0,2022000490101,190104,1,1,9833.2,2,0,1,51,1,3,399,1,100,8,81,1,10,41500,1,11,14.0,1,0,0,0,1,1,0,0,14.0,0.0,2601,10.63344870621879
2022,202201,50300,2022000955415,20956.0,2022000503001,11204,1,1,20956.0,2,0,2,52,1,7,700,1,100,8,81,1,10,40000,1,11,14.0,1,0,0,0,1,1,1,0,14.0,0.0,2704,10.596634733096073
2022,202201,59810,2022001433033,8866.0,2022000598101,12104,1,1,8704.8,0,0,1,54,1,6,600,0,0,8,81,1,10,100000,1,11,14.0,1,0,0,0,0,1,0,0,14.0,0.0,2916,11.512925464970229
2022,202201,62390,2022000039031,17087.2,2022000623901,40005,1,1,17087.2,0,0,2,43,1,1,100,0,0,8,81,1,10,60000,1,11,14.0,1,0,1,0,0,1,1,0,14.0,0.0,1849,11.002099841204238
2022,202201,65775,2022000421027,30466.8,2022000657751,90005,1,2,26275.6,3,1,1,42,1,1,100,0,0,8,81,1,10,104000,1,11,14.0,1,0,1,0,0,1,0,0,14.0,0.0,1764,11.55214617812351
2022,202201,67226,2022000583249,39494.0,2022000672261,20105,1,1,39494.0,3,0,2,43,5,1,100,0,0,8,81,1,10,70000,1,11,14.0,1,0,1,0,0,0,1,0,14.0,0.0,1849,11.156250521031495
2022,202201,74480,2022001422448,9027.2,2022000744801,120005,1,2,18860.4,1,1,2,32,6,1,100,0,0,8,81,1,10,61000,1,11,14.0,1,0,1,0,0,0,1,0,14.0,0.0,1024,11.018629143155449
2022,202201,85119,2022010090583,1612.0,2022000851191,375006,4,1,1612.0,0,0,1,46,6,7,700,1,100,8,81,1,10,14500,1,11,14.0,1,0,0,0,1,0,0,0,14.0,0.0,2116,9.581903928408666
2022,202201,97370,2022000017615,9349.6,2022000973701,130906,1,1,9349.6,1,0,1,58,6,2,200,0,0,8,81,1,10,70000,1,11,14.0,1,0,0,1,0,0,0,0,14.0,0.0,3364,11.156250521031495
2022,202201,100594,2022000049997,7415.2,2022001005941,852006,1,3,10800.4,1,1,1,35,6,6,610,0,0,8,81,1,10,67000,1,11,14.0,1,0,0,0,0,0,0,0,14.0,0.0,1225,11.112447898373103
2022,202201,102367,2022000068750,9188.4,2022001023671,375306,1,1,9188.4,0,0,2,48,4,1,100,1,100,8,81,1,10,12500,1,11,14.0,1,0,1,0,1,0,1,0,14.0,0.0,2304,9.433483923290392
2022,202201,106075,2022000106935,10639.2,2022001060751,1110206,1,2,13540.8,0,0,1,37,6,1,100,1,100,8,81,1,10,43000,1,11,14.0,1,0,1,0,1,0,0,0,14.0,0.0,1369,10.668955394675699
2022,202201,107203,2022000118768,7898.8,2022001072031,732606,1,2,8704.8,0,0,1,59,1,5,500,0,0,8,81,1,10,72000,1,11,14.0,1,0,0,0,0,1,0,0,14.0,0.0,3481,11.184421397998193
2022,202201,113490,2022000185180,32078.8,2022001134901,711806,1,1,32078.8,3,0,2,37,1,2,200,0,0,8,81,1,10,45000,1,11,14.0,1,0,0,1,0,1,1,0,14.0,0.0,1369,10.714417768752456
2022,202201,113974,2022000190204,4674.8,2022001139741,375706,1,1,4674.8,0,0,2,33,1,3,361,4,416,8,81,1,10,40100,1,11,14.0,1,0,0,0,1,1,1,0,14.0,0.0,1089,10.599131613294661
2022,202201,114618,2022000197046,23212.8,2022001146181,851806,1,1,23212.8,2,0,2,32,1,7,700,1,100,8,81,1,10,54000,1,11,14.0,1,0,0,0,1,1,1,0,14.0,0.0,1024,10.896739325546411
2022,202201,117198,2022000224458,10800.4,2022001171981,830106,1,1,10639.2,0,0,2,58,4,9,911,0,0,8,81,1,10,110000,1,11,14.0,1,0,0,0,0,0,1,0,14.0,0.0,3364,11.608235644774552
2022,202201,122356,2022000279903,24824.8,2022001223561,650106,1,1,24824.8,2,0,2,30,1,8,826,1,100,8,81,1,10,45000,1,11,14.0,1,0,0,0,1,1,1,0,14.0,0.0,900,10.714417768752456
2022,202201,127676,2022000335233,8866.0,2022001276761,70006,1,1,8866.0,1,0,2,37,1,8,856,1,100,8,81,1,10,72000,1,11,14.0,1,0,0,0,1,1,1,0,14.0,0.0,1369,11.184421397998193
2022,202201,129126,2022000350210,14346.8,2022001291261,390006,1,2,17893.2,0,0,1,58,1,1,100,0,0,8,81,1,10,35000,1,11,14.0,1,0,1,0,0,1,0,0,14.0,0.0,3364,10.46310334047155
2022,202201,129932,2022000358164,30950.4,2022001299321,1110906,1,1,30789.2,3,0,2,47,1,9,911,0,0,8,81,1,10,60000,1,11,14.0,1,0,0,0,0,1,1,0,14.0,0.0,2209,11.002099841204238
2022,202201,130255,2022000361639,8382.4,2022001302551,470206,1,1,8543.6,1,0,2,44,4,1,100,0,0,8,81,1,10,150000,1,11,14.0,1,0,1,0,0,0,1,0,14.0,0.0,1936,11.918390573078392
2022,202201,130738,2022000366966,8704.8,2022001307381,651406,1,1,8704.8,0,0,2,55,1,1,100,0,0,8,81,1,10,3000,1,11,14.0,1,0,1,0,0,1,1,0,14.0,0.0,3025,8.006367567650246
2022,202201,132834,2022000389419,8866.0,2022001328341,373706,1,4,8543.6,0,0,1,24,6,6,675,0,0,8,81,1,10,48000,1,11,14.0,1,0,0,0,0,0,0,0,14.0,0.0,576,10.778956289890028
2022,202201,133962,2022000400763,41912.0,2022001339621,376006,1,2,47231.6,1,0,1,51,1,1,100,0,0,8,81,1,10,80000,1,11,14.0,1,0,1,0,0,1,0,0,14.0,0.0,2601,11.289781913656018
2022,202201,135413,2022000415873,39655.2,2022001354131,375706,1,3,44974.8,1,1,2,25,6,7,700,1,100,8,81,1,10,37000,1,11,14.0,1,0,0,0,1,0,1,0,14.0,0.0,625,10.51867319162636
2022,202201,136058,2022000422369,15314.0,2022001360581,371906,1,1,15314.0,0,0,1,32,6,1,100,0,0,8,81,1,10,20000,1,11,14.0,1,0,1,0,0,0,0,0,14.0,0.0,1024,9.903487552536127
2022,202201,136058,2022000422369,15314.0,2022001360581,371906,1,2,13540.8,0,0,2,29,6,1,100,0,0,8,81,1,10,4000,1,11,14.0,1,0,1,0,0,0,1,0,14.0,0.0,841,8.294049640102028
2022,202201,137509,2022000437811,16926.0,2022001375091,1070106,1,2,19505.2,1,1,1,34,1,7,700,1,100,8,81,1,10,25200,1,11,14.0,1,0,0,0,1,1,0,0,14.0,0.0,1156,10.134599273499514
2022,202201,138960,2022000453622,40300.0,2022001389601,970506,1,3,35947.6,0,0,2,26,6,1,100,0,0,8,81,1,10,10000,1,11,14.0,1,0,1,0,0,0,1,0,14.0,0.0,676,9.210340371976184
2022,202201,139282,2022000456978,8704.8,2022001392821,851106,1,2,9833.2,0,0,1,29,1,7,700,1,100,8,81,1,10,75000,1,11,14.0,1,0,0,0,1,1,0,0,14.0,0.0,841,11.225243392518447
2022,202201,139443,2022000458708,9349.6,2022001394431,377206,1,3,14185.6,0,0,2,29,6,1,100,0,0,8,81,1,10,20000,1,11,14.0,1,0,1,0,0,0,1,0,14.0,0.0,841,9.903487552536127
2022,202201,141539,2022000481605,4836.0,2022001415391,377106,1,3,5964.4,0,0,1,26,6,1,100,1,100,8,81,1,10,80000,1,11,14.0,1,0,1,0,1,0,0,0,14.0,0.0,676,11.289781913656018
2022,202201,142667,2022000493805,14185.6,2022001426671,11106,1,1,14024.4,0,0,2,26,6,4,400,0,0,8,81,1,10,3200,1,11,14.0,1,0,0,0,0,0,1,0,14.0,0.0,676,8.070906088787819
2022,202201,144118,2022000509252,11122.8,2022001441181,371506,1,1,11122.8,0,0,2,49,4,1,100,1,100,8,81,1,10,165000,1,11,14.0,1,0,1,0,1,0,1,0,14.0,0.0,2401,12.013700752882718
2022,202201,144440,2022000512909,7898.8,2022001444401,591206,1,3,9510.8,0,0,1,35,6,6,600,0,0,8,81,1,10,48000,1,11,14.0,1,0,0,0,0,0,0,0,14.0,0.0,1225,10.778956289890028
2022,202201,146052,2022000529987,19021.6,2022001460521,652506,1,1,19021.6,1,0,2,45,4,1,100,1,100,8,81,1,10,90000,2,20,14.0,1,0,1,0,1,0,1,1,14.0,0.0,2025,11.407564949312402
2022,202201,146052,2022000529987,19021.6,2022001460521,652506,1,2,29338.4,0,0,2,27,6,1,100,1,100,8,81,1,10,30000,1,11,14.0,1,0,1,0,1,0,1,0,14.0,0.0,729,10.308952660644293
2022,202201,156853,2022000641910,13379.6,2022001568531,131306,1,1,13379.6,1,0,2,44,4,1,100,0,0,8,81,1,10,80000,1,11,14.0,1,0,1,0,0,0,1,0,14.0,0.0,1936,11.289781913656018
2022,202201,158626,2022000660763,6125.6,2022001586261,373406,1,2,5642.0,0,0,1,53,6,1,100,0,0,8,81,1,10,47000,1,11,14.0,1,0,1,0,0,0,0,0,14.0,0.0,2809,10.757902880692196
2022,202201,163462,2022000711912,22729.2,2022001634621,470206,1,2,27242.8,0,0,1,36,6,2,200,0,0,8,81,1,10,35000,1,11,14.0,1,0,0,1,0,0,0,0,14.0,0.0,1296,10.46310334047155
2022,202201,164107,2022000718457,17248.4,2022001641071,376806,1,2,13863.2,1,0,2,49,1,7,700,2,200,8,81,1,10,70000,1,11,14.0,1,0,0,0,1,1,1,0,14.0,0.0,2401,11.156250521031495
2022,202201,165880,2022000736798,9672.0,2022001658801,11106,5,9,11767.6,0,0,1,26,6,8,826,4,423,8,81,1,14,70000,1,12,14.0,1,0,0,0,1,0,0,0,14.0,0.0,676,11.156250521031495
2022,202201,165880,2022000736798,9672.0,2022001658801,11106,5,10,14346.8,0,0,2,25,6,1,100,0,0,8,81,1,10,38000,1,11,14.0,1,0,1,0,0,0,1,0,14.0,0.0,625,10.545341438708522
2022,202201,166364,2022000741824,31595.2,2022001663641,670606,1,1,31595.2,0,0,2,40,4,1,100,0,0,8,81,1,10,40000,1,11,14.0,1,0,1,0,0,0,1,0,14.0,0.0,1600,10.596634733096073
2022,202201,169588,2022000774958,29983.2,2022001695881,1010006,1,2,46909.2,3,0,2,45,1,7,700,1,100,8,81,1,10,23000,1,11,14.0,1,0,0,0,1,1,1,0,14.0,0.0,2025,10.043249494911286
2022,202201,172489,2022000805332,16442.4,2022001724891,851906,1,1,16603.6,0,0,1,26,6,7,700,4,416,8,81,1,10,150000,1,11,14.0,1,0,0,0,1,0,0,0,14.0,0.0,676,11.918390573078392
2022,202201,172650,2022000807043,8866.0,2022001726501,11406,1,1,8866.0,1,0,1,62,1,1,100,0,0,8,81,1,10,150000,1,11,14.0,1,0,1,0,0,1,0,0,14.0,0.0,3844,11.918390573078392
2022,202201,173134,2022000811935,12573.6,2022001731341,592006,1,2,10316.8,2,0,1,62,1,8,826,0,0,8,81,1,10,82000,1,11,14.0,1,0,0,0,0,1,0,0,14.0,0.0,3844,11.314474526246391
2022,202201,173456,2022000814937,9994.4,2022001734561,670306,1,1,9833.2,0,0,2,46,1,8,821,0,0,8,81,1,10,50000,1,11,14.0,1,0,0,0,0,1,1,0,14.0,0.0,2116,10.819778284410283
2022,202201,181355,2022000898016,8866.0,2022001813551,290506,1,1,8866.0,2,0,2,32,6,1,100,1,100,8,81,1,10,47600,1,11,14.0,1,0,1,0,1,0,1,0,14.0,0.0,1024,10.770588040219511
2022,202201,185869,2022000944742,29983.2,2022001858691,371206,1,2,26436.8,0,0,2,60,1,1,100,0,0,8,81,1,10,26000,1,11,14.0,1,0,1,0,0,1,1,0,14.0,0.0,3600,10.165851817003619
2022,202201,202472,2022001116779,9027.2,2022002024721,11706,1,3,17248.4,0,0,1,20,6,1,100,0,0,8,81,1,10,25000,1,11,14.0,1,0,1,0,0,0,0,0,14.0,0.0,400,10.126631103850338
2022,202201,206986,2022001164932,9672.0,2022002069861,150006,1,1,9672.0,0,0,1,27,1,1,100,0,0,8,81,1,10,50000,2,20,14.0,1,0,1,0,0,1,0,1,14.0,0.0,729,10.819778284410283
2022,202201,210210,2022001197563,22729.2,2022002102101,378006,1,1,22729.2,0,0,2,40,1,6,660,0,0,8,81,1,10,62000,1,11,14.0,1,0,0,0,0,1,1,0,14.0,0.0,1600,11.03488966402723
2022,202201,211338,2022001209756,6125.6,2022002113381,30006,1,1,6125.6,0,0,2,65,1,1,100,0,0,8,81,1,10,58000,1,11,14.0,1,0,1,0,0,1,1,0,14.0,0.0,4225,10.968198289528557
2022,202201,215852,2022001257667,8060.0,2022002158521,372206,1,2,7415.2,0,0,2,59,1,1,100,0,0,8,81,1,10,25000,1,11,14.0,1,0,1,0,0,1,1,0,14.0,0.0,3481,10.126631103850338
2022,202201,218270,2022001283303,19021.6,2022002182701,290306,1,2,18538.0,2,0,2,39,4,1,100,0,0,8,81,1,10,14000,1,11,14.0,1,0,1,0,0,0,1,0,14.0,0.0,1521,9.546812608597396
2022,202201,220527,2022001306555,9349.6,2022002205271,371306,1,1,9349.6,1,0,2,39,6,2,200,0,0,8,81,1,10,53000,1,11,14.0,1,0,0,1,0,0,1,0,14.0,0.0,1521,10.87804719253426
2022,202201,227620,2022001381193,32240.0,2022002276201,730706,1,2,27404.0,1,0,2,39,1,1,100,1,100,8,81,1,12,30000,2,20,14.0,1,0,1,0,1,1,1,1,14.0,0.0,1521,10.308952660644293
2022,202201,229232,2022001397564,10155.6,2022002292321,11406,1,2,11606.4,0,0,1,62,1,6,600,0,0,8,81,1,10,51000,1,11,14.0,1,0,0,0,0,1,0,0,14.0,0.0,3844,10.839580911706463
2022,202201,230199,2022001408246,18215.6,2022002301991,850806,1,1,18215.6,1,0,2,57,1,6,640,0,0,8,81,1,10,106000,1,11,14.0,1,0,0,0,0,1,1,0,14.0,0.0,3249,11.571194373094205
2022,202201,232939,2022001436010,8221.2,2022002329391,131206,1,2,8221.2,2,1,2,43,1,1,100,0,0,8,81,1,10,80000,1,11,14.0,1,0,1,0,0,1,1,0,14.0,0.0,1849,11.289781913656018
2022,202201,236647,2022010176546,5319.6,2022002366471,200408,4,1,5319.6,0,0,2,19,6,8,826,1,100,8,81,1,10,26500,1,11,14.0,1,0,0,0,1,0,1,0,14.0,0.0,361,10.184900011974314
2022,202201,239065,2022000140582,9027.2,2022002390651,60108,1,3,5803.2,0,0,2,22,6,6,660,0,0,8,81,1,10,37000,1,11,14.0,1,0,0,0,0,0,1,0,14.0,0.0,484,10.51867319162636
2022,202201,240516,2022000227427,7415.2,2022002405161,120208,1,1,7415.2,2,0,1,53,1,7,700,4,498,8,81,1,10,90000,2,20,14.0,1,0,0,0,1,1,0,1,14.0,0.0,2809,11.407564949312402
2022,202201,241483,2022000285216,16764.8,2022002414831,190008,1,1,16764.8,0,0,2,49,6,1,100,0,0,8,81,1,10,17000,1,11,14.0,1,0,1,0,0,0,1,0,14.0,0.0,2401,9.740968623038354
2022,202201,242450,2022000344515,7898.8,2022002424501,170408,1,2,8060.0,0,0,1,26,6,7,700,1,100,8,81,1,10,30000,1,11,14.0,1,0,0,0,1,0,0,0,14.0,0.0,676,10.308952660644293
2022,202201,242934,2022000373279,14830.4,2022002429341,120208,1,1,14830.4,1,0,2,29,6,8,826,1,100,8,81,1,10,30000,1,11,14.0,1,0,0,0,1,0,1,0,14.0,0.0,841,10.308952660644293
2022,202201,243095,2022000382641,6770.4,2022002430951,70308,1,1,6770.4,1,0,2,52,4,1,100,0,0,8,81,1,10,90000,1,11,14.0,1,0,1,0,0,0,1,0,14.0,0.0,2704,11.407564949312402
2022,202201,245513,2022000526267,29016.0,2022002455131,90108,1,1,29016.0,2,0,2,52,4,1,100,0,0,8,81,1,10,90000,1,11,14.0,1,0,1,0,0,0,1,0,14.0,0.0,2704,11.407564949312402
2022,202201,245996,2022000554499,40300.0,2022002459961,140108,1,2,42879.2,1,0,2,60,1,7,700,1,100,8,81,1,10,27000,1,11,14.0,1,0,0,0,1,1,1,0,14.0,0.0,3600,10.203592144986466
2022,202201,246319,2022000574808,10316.8,2022002463191,200208,1,1,10316.8,0,0,2,65,1,8,826,4,498,8,81,1,10,68000,1,11,14.0,1,0,0,0,1,1,1,0,14.0,0.0,4225,11.127262984158243
2022,202201,246480,2022000583785,15152.8,2022002464801,10008,1,2,11606.4,0,0,2,52,1,1,100,0,0,8,81,1,10,48000,1,11,14.0,1,0,1,0,0,1,1,0,14.0,0.0,2704,10.778956289890028
2022,202201,247447,2022000643459,17732.0,2022002474471,60108,1,2,12090.0,2,0,1,45,1,1,100,0,0,8,81,1,10,101000,1,11,14.0,1,0,1,0,0,1,0,0,14.0,0.0,2025,11.522875795823397
2022,202201,247931,2022000672822,5642.0,2022002479311,100308,1,1,5642.0,0,0,1,62,1,1,100,0,0,8,81,1,10,19600,1,13,14.0,1,0,1,0,0,1,0,0,14.0,0.0,3844,9.883284845218608
2022,202201,248576,2022000709762,11767.6,2022002485761,200508,1,2,11767.6,1,1,2,32,1,6,610,0,0,8,81,1,10,58000,1,11,14.0,1,0,0,0,0,1,1,0,14.0,0.0,1024,10.968198289528557
2022,202201,250832,2022000843805,9349.6,2022002508321,210108,1,1,9349.6,2,2,2,33,1,1,100,0,0,8,81,1,10,55000,1,11,14.0,1,0,1,0,0,1,1,0,14.0,0.0,1089,10.915088464214607
2022,202201,252444,2022000941323,22084.4,2022002524441,200308,1,1,21923.2,5,2,1,32,1,8,863,1,100,8,81,1,10,60000,1,11,14.0,1,0,0,0,1,1,0,0,14.0,0.0,1024,11.002099841204238
2022,202201,252767,2022000959672,5319.6,2022002527671,60108,1,1,5319.6,1,0,2,60,6,6,640,0,0,8,81,1,10,138000,1,11,14.0,1,0,0,0,0,0,1,0,14.0,0.0,3600,11.835008964139341
2022,202201,255991,2022001145525,23696.4,2022002559911,180008,1,1,23696.4,0,0,1,50,1,8,885,4,498,8,81,1,10,72000,1,11,14.0,1,0,0,0,1,1,0,0,14.0,0.0,2500,11.184421397998193
2022,202201,255991,2022001145525,23696.4,2022002559911,180008,1,2,12896.0,0,0,2,53,1,1,100,4,498,8,81,1,10,15400,1,11,14.0,1,0,1,0,1,1,1,0,14.0,0.0,2809,9.642122788401721
2022,202201,256958,2022001203295,13863.2,2022002569581,30308,1,3,23535.2,0,0,1,18,6,1,100,0,0,8,81,1,10,11600,1,11,14.0,1,0,1,0,0,0,0,0,14.0,0.0,324,9.358760377094455
2022,202201,258570,2022001301799,5319.6,2022002585701,190008,1,1,5319.6,0,0,2,25,6,1,100,1,100,8,81,1,10,77000,1,11,14.0,1,0,1,0,1,0,1,0,14.0,0.0,625,11.251560700835821
2022,202201,265018,2022000117022,11445.2,2022002650181,2060409,1,2,11122.8,1,0,2,43,1,1,100,0,0,8,81,1,10,40000,1,11,14.0,1,0,1,0,0,1,1,0,14.0,0.0,1849,10.596634733096073
2022,202201,266630,2022000281223,15314.0,2022002666301,2040209,1,1,15314.0,2,0,2,39,4,1,100,0,0,8,81,1,10,7000,1,11,14.0,1,0,1,0,0,0,1,0,14.0,0.0,1521,8.85366542803745
2022,202201,266791,2022000298477,33368.4,2022002667911,2020209,1,1,33368.4,2,0,1,37,1,1,100,4,423,8,81,1,10,70000,1,11,14.0,1,0,1,0,1,1,0,0,14.0,0.0,1369,11.156250521031495
2022,202201,267758,2022000390357,31272.8,2022002677581,2010009,1,1,31272.8,1,0,2,59,4,1,100,0,0,8,81,1,10,45000,1,11,14.0,1,0,1,0,0,0,1,0,14.0,0.0,3481,10.714417768752456
2022,202201,271788,2022000789075,19505.2,2022002717881,2020509,1,1,19505.2,0,0,2,51,4,1,100,0,0,8,81,1,10,65000,1,11,14.0,1,0,1,0,0,0,1,0,14.0,0.0,2601,11.082142548877775
2022,202201,272111,2022000819638,10639.2,2022002721111,2020709,1,1,10639.2,2,0,2,42,1,1,100,0,0,8,81,1,10,125000,1,11,14.0,1,0,1,0,0,1,1,0,14.0,0.0,1764,11.736069016284437
2022,202201,272272,2022000834613,11122.8,2022002722721,2080209,1,1,11122.8,0,0,1,36,1,1,100,0,0,8,81,1,10,50000,1,11,14.0,1,0,1,0,0,1,0,0,14.0,0.0,1296,10.819778284410283
2022,202201,277914,2022001394878,10155.6,2022002779141,2090409,1,1,10155.6,3,0,2,59,4,1,100,0,0,8,81,1,10,47000,1,11,14.0,1,0,1,0,0,0,1,0,14.0,0.0,3481,10.757902880692196
2022,202201,277914,2022001394878,10155.6,2022002779141,2090409,1,3,8060.0,0,0,1,30,6,1,100,0,0,8,81,1,10,50000,1,11,14.0,1,0,1,0,0,0,0,0,14.0,0.0,900,10.819778284410283
2022,202201,282750,2022001420585,1612.0,2022002827501,20010,1,2,1612.0,0,0,1,31,6,1,100,0,0,8,81,1,10,35000,1,11,14.0,1,0,1,0,0,0,0,0,14.0,0.0,961,10.46310334047155
2022,202201,284846,2022000640165,17732.0,2022002848461,10411,1,2,12573.6,4,0,1,52,1,2,200,0,0,8,81,1,10,85000,1,11,14.0,1,0,0,1,0,1,0,0,14.0,0.0,2704,11.350406535472453
2022,202201,295485,2022010138384,8866.0,2022002954851,570512,4,1,8866.0,0,0,2,20,6,1,100,0,0,8,81,1,10,1400,1,11,14.0,1,0,1,0,0,0,1,0,14.0,0.0,400,7.24422751560335
2022,202201,302255,2022000065694,22729.2,2022003022551,110412,1,1,22729.2,1,0,2,63,4,1,100,0,0,8,81,1,10,52000,1,11,14.0,1,0,1,0,0,0,1,0,14.0,0.0,3969,10.858998997563564
2022,202201,302739,2022000073891,28854.8,2022003027391,860712,1,1,28854.8,1,0,2,62,1,8,826,3,300,8,81,1,10,40000,1,11,14.0,1,0,0,0,1,1,1,0,14.0,0.0,3844,10.596634733096073
2022,202201,302739,2022000073891,28854.8,2022003027391,860712,1,2,32884.8,1,0,1,61,1,8,826,3,300,8,81,1,10,55000,1,11,14.0,1,0,0,0,1,1,0,0,14.0,0.0,3721,10.915088464214607
2022,202201,302739,2022000073891,28854.8,2022003027391,860712,1,3,26598.0,1,1,2,32,1,8,826,3,300,8,81,1,10,26000,1,11,14.0,1,0,0,0,1,1,1,0,14.0,0.0,1024,10.165851817003619
2022,202201,303061,2022000078595,13702.0,2022003030611,110612,1,1,13702.0,2,0,2,53,4,8,826,4,423,8,81,1,10,40000,1,11,14.0,1,0,0,0,1,0,1,0,14.0,0.0,2809,10.596634733096073
2022,202201,303867,2022000092550,10800.4,2022003038671,111312,1,2,10800.4,1,0,2,59,1,2,200,0,0,8,81,1,10,23000,1,11,14.0,1,0,0,1,0,1,1,0,14.0,0.0,3481,10.043249494911286
2022,202201,307575,2022000153118,9994.4,2022003075751,690112,1,2,8382.4,2,0,1,39,1,8,826,0,0,8,81,1,10,50000,2,20,14.0,1,0,0,0,0,1,0,1,14.0,0.0,1521,10.819778284410283
